front size, time (seconds), progress
10, 0.004, false
5, 0.002, true
4, 0.0, false
9, 0.001, true
13, 0.003, true
15, 0.001, false
5, 0.0, false
65, 0.136, false
14, 0.0, false
10, 0.001, false
34, 0.004, false
39, 0.002, true
43, 0.003, true
43, 0.003, true
46, 0.006, false
35, 0.003, false
18, 0.001, true
17, 0.0, true
21, 0.0, true
20, 0.001, false
63, 0.013, true
62, 0.01, true
62, 0.0, true
65, 0.011, true
65, 0.001, true
69, 0.012, true
68, 0.012, true
67, 0.02, true
79, 0.171, false
9, 0.0, true
8, 0.0, true
10, 0.0, false
31, 0.007, false
16, 0.0, false
18, 0.0, false
16, 0.001, false
16, 0.0, true
18, 0.0, true
20, 0.001, true
19, 0.0, false
10, 0.0, false
6, 0.001, false
10, 0.0, false
9, 0.0, true
64, 0.047, false
16, 0.002, false
19, 0.001, false
20, 0.001, false
9, 0.0, true
13, 0.0, true
12, 0.0, false
16, 0.001, true
15, 0.0, true
30, 0.0, true
34, 0.001, true
41, 0.001, true
45, 0.001, true
44, 0.008, true
37, 0.006, true
39, 0.008, true
45, 0.091, true
48, 0.289, true
55, 0.011, true
61, 1.2, true
60, 0.011, false
19, 0.0, false
19, 0.001, false
31, 0.005, false
46, 0.01, false
26, 0.002, false
68, 0.023, true
69, 4.477, true
68, 0.041, false
16, 0.001, false
15, 0.0, false
9, 0.0, true
13, 0.0, true
15, 0.001, false
16, 0.0, false
18, 0.0, false
13, 0.0, false
9, 0.0, true
8, 0.0, true
10, 0.001, false
14, 0.0, false
54, 0.011, false
18, 0.0, false
28, 0.0, false
29, 0.001, true
31, 0.0, true
33, 0.001, true
35, 0.001, true
35, 0.001, true
52, 0.001, true
60, 0.001, true
57, 0.003, true
66, 0.011, false
11, 0.0, false
49, 0.006, false
18, 0.0, false
16, 0.0, false
31, 0.003, false
16, 0.0, false
16, 0.0, true
18, 0.0, true
20, 0.0, true
19, 0.0, false
20, 0.0, false
16, 0.0, false
23, 0.001, false
16, 0.0, true
20, 0.0, true
19, 0.001, true
18, 0.001, false
23, 0.0, false
16, 0.001, true
27, 0.001, true
29, 0.001, false
18, 0.001, false
15, 0.0, false
62, 0.012, true
61, 0.01, true
58, 0.03, true
62, 0.015, true
68, 0.001, true
67, 0.003, true
69, 0.03, false
16, 0.0, false
9, 0.0, true
13, 0.0, true
12, 0.0, false
10, 0.001, false
37, 0.002, false
